cell_type,patient,k,mean_dist,sd_dist,n_cells
plasmablast,Lung6,9,313.047347755789,154.901386704949,411
B-cell,Lung6,9,386.241961530804,198.295200179967,487
pDC,Lung6,9,408.003552737989,254.194935526085,470
T CD8 naive,Lung6,9,389.749847331411,241.123997858693,689
T CD4 naive,Lung6,9,358.365234440024,202.892439162474,503
NK,Lung6,9,312.046449044426,256.155523548191,184
macrophage,Lung6,9,554.383337092117,399.634144799641,6884
mast,Lung6,9,249.656888973216,189.758650858634,254
T CD4 memory,Lung6,9,327.209330308961,204.225781885502,615
Treg,Lung6,9,379.827710228959,192.281716783764,319
T CD8 memory,Lung6,9,441.890467190942,284.406343038492,541
mDC,Lung6,9,428.759347410841,291.89307532408,904
neutrophil,Lung6,9,237.363548472551,151.446691608835,482
monocyte,Lung6,9,292.149796656644,197.784619219866,296
epithelial,Lung6,10,382.492367048493,280.35203448884,4120
fibroblast,Lung6,10,241.602491434352,163.760281622487,3252
endothelial,Lung6,10,364.913695330324,274.663647193889,2583
plasmablast,Lung6,10,321.458325272864,158.674795815793,411
B-cell,Lung6,10,398.236677020074,204.542693276096,487
pDC,Lung6,10,420.036488319906,263.009821017055,470
T CD8 naive,Lung6,10,402.827725891485,250.421394029288,689
T CD4 naive,Lung6,10,369.998223757089,208.330148897389,503
NK,Lung6,10,323.150547511591,265.105888945274,184
macrophage,Lung6,10,577.238501693619,417.022251565565,6884
mast,Lung6,10,257.856994654407,196.665967299479,254
T CD4 memory,Lung6,10,336.911515042909,209.850162453332,615
Treg,Lung6,10,391.778161690793,199.257767043421,319
T CD8 memory,Lung6,10,458.054674667354,295.549182931973,541
mDC,Lung6,10,444.006443495245,303.74808649865,904
neutrophil,Lung6,10,248.162134137676,159.047782892661,482
monocyte,Lung6,10,303.675932455264,205.068608578025,296
epithelial,Lung9,1,187.913677178992,148.107794765692,5685
neutrophil,Lung9,1,116.892404933672,91.1885870594486,17197
fibroblast,Lung9,1,155.285324336015,104.737700290906,21893
endothelial,Lung9,1,185.415136101871,132.539088128992,7730
T CD8 memory,Lung9,1,133.466352342586,112.249459227809,1726
B-cell,Lung9,1,180.420485959696,131.393446776757,1628
T CD4 memory,Lung9,1,155.100078222901,107.735672125738,5724
T CD4 naive,Lung9,1,196.467085278215,142.611640095066,1287
NK,Lung9,1,132.420620664806,106.25232067802,1928
monocyte,Lung9,1,202.877880184222,146.22712290034,2201
macrophage,Lung9,1,201.515002348633,148.341162546084,5649
plasmablast,Lung9,1,179.062428956,102.495489989537,8683
Treg,Lung9,1,157.583492373129,109.610330201737,2985
T CD8 naive,Lung9,1,173.530783543321,127.834798401654,2276
mDC,Lung9,1,225.54784676571,148.572435925191,1099
pDC,Lung9,1,186.318342246984,120.88116643197,2323
mast,Lung9,1,150.276936517355,111.600569627209,852
epithelial,Lung9,2,225.607844533791,156.066017606296,5685
neutrophil,Lung9,2,141.846822486617,100.57317944448,17197
fibroblast,Lung9,2,178.395192727364,110.322329204371,21893
endothelial,Lung9,2,219.257839338568,139.771847371558,7730
T CD8 memory,Lung9,2,156.785165642981,121.140356366823,1726
B-cell,Lung9,2,213.747975693658,136.544496243804,1628
T CD4 memory,Lung9,2,178.152718770108,113.127831675594,5724
T CD4 naive,Lung9,2,234.17736905951,149.677265974996,1287
NK,Lung9,2,161.36272304328,116.281763864359,1928
monocyte,Lung9,2,241.558627774088,152.902553610054,2201
macrophage,Lung9,2,238.852684865764,159.1011489934,5649
plasmablast,Lung9,2,203.645149766506,104.848096104302,8683
Treg,Lung9,2,183.859980881113,114.287533083427,2985
T CD8 naive,Lung9,2,206.992322793337,133.96069847023,2276
mDC,Lung9,2,268.954576336525,152.897179304291,1099
pDC,Lung9,2,213.825112020911,127.147404028139,2323
mast,Lung9,2,176.732347006501,117.517824323093,852
epithelial,Lung9,3,259.574707496737,167.595901278166,5685
neutrophil,Lung9,3,163.178087533984,110.845246246389,17197
fibroblast,Lung9,3,196.510806546294,117.368604277589,21893
endothelial,Lung9,3,247.509108445172,151.372157497223,7730
T CD8 memory,Lung9,3,176.016885069616,131.103135360724,1726
B-cell,Lung9,3,239.384273816767,144.384424909376,1628
T CD4 memory,Lung9,3,195.721178335976,119.394896802227,5724
T CD4 naive,Lung9,3,265.58419331332,159.869711105615,1287
NK,Lung9,3,183.575373072178,126.611532755012,1928
monocyte,Lung9,3,272.826234699559,163.783015838304,2201
macrophage,Lung9,3,268.840963612875,172.476968339922,5649
plasmablast,Lung9,3,223.171423894967,109.946044259763,8683
Treg,Lung9,3,204.902658075533,120.925975373304,2985
T CD8 naive,Lung9,3,234.316452542379,144.024086564993,2276
mDC,Lung9,3,303.745102084844,161.384345524151,1099
pDC,Lung9,3,236.373042361756,134.391988311361,2323
mast,Lung9,3,199.846282139655,127.894352398471,852
epithelial,Lung9,4,288.964833463925,179.31955443344,5685
neutrophil,Lung9,4,181.851301466588,120.323708163422,17197
fibroblast,Lung9,4,211.837972729824,124.496394472098,21893
endothelial,Lung9,4,271.799404387895,163.069249566101,7730
T CD8 memory,Lung9,4,192.733798569108,140.658095646266,1726
B-cell,Lung9,4,261.572250475573,152.392073341822,1628
T CD4 memory,Lung9,4,210.911467131451,125.965222672909,5724
T CD4 naive,Lung9,4,292.486996803082,170.48269955824,1287
NK,Lung9,4,203.153178687943,136.412614297091,1928
monocyte,Lung9,4,300.739461269854,175.013733942109,2201
macrophage,Lung9,4,294.484627827639,185.437898650582,5649
plasmablast,Lung9,4,239.751081702188,115.759531227442,8683
Treg,Lung9,4,222.877117995688,127.710924311131,2985
T CD8 naive,Lung9,4,257.863437330016,154.066369416984,2276
mDC,Lung9,4,334.884807559915,172.369934673246,1099
pDC,Lung9,4,255.209909935575,142.290433568458,2323
mast,Lung9,4,220.557384277175,139.113801269278,852
epithelial,Lung9,5,314.979536828671,190.428544325369,5685
neutrophil,Lung9,5,198.624885882094,129.014501439503,17197
fibroblast,Lung9,5,225.250173430053,131.348998402212,21893
endothelial,Lung9,5,293.039529541614,174.144337653178,7730
T CD8 memory,Lung9,5,207.382476971424,149.771092129171,1726
B-cell,Lung9,5,281.197079365968,160.078368066926,1628
T CD4 memory,Lung9,5,224.033545137891,132.120061819384,5724
T CD4 naive,Lung9,5,315.906511445391,180.565032545116,1287
NK,Lung9,5,220.518689439311,145.714410738572,1928
monocyte,Lung9,5,325.251991849878,185.931056647422,2201
macrophage,Lung9,5,317.178603118497,198.018923279126,5649
plasmablast,Lung9,5,254.341747509839,121.522323963618,8683
Treg,Lung9,5,238.578744487249,134.282007067191,2985
T CD8 naive,Lung9,5,278.659748211748,163.647304198448,2276
mDC,Lung9,5,362.50522649384,183.821724100482,1099
pDC,Lung9,5,271.541986556498,149.849826088562,2323
