gene,median_coef,fisher_stat,fisher_pval,sign_consistency,n_samples,n_sig_samples,mean_expr,pct_expr,n_positive_samples,n_negative_samples,median_dispersion,fisher_fdr,perm_pval,gradient_score,decay_pattern,cell_type
TGFB1,-0.000946277295635716,11.092164441497,0.350382790657448,1,5,0,0.160495716034272,0.129895960832313,0,5,0.590581472191699,1,,-0.000946277295635716,not_significant,pDC
TGFBR1,-0.000245730884698831,,1,0.6,5,1,0.115437576499388,0.0962362301101591,2,3,0.423414012701998,1,,-0.000245730884698831,not_significant,pDC
TGFBR2,-0.000818943616941317,,1,0.6,5,0,0.180615055079559,0.14313035495716,2,3,0.546068603852139,1,,-0.000818943616941317,not_significant,pDC
THBS1,0.00205096627682722,49.7954994190549,2.91042417214197e-07,1,5,1,0.308445532435741,0.181992044063648,5,0,0.823458572901958,1.03735832992775e-05,,0.00205096627682722,linear,pDC
THBS2,0.00150599987796137,,1,0.6,5,3,0.335220318237454,0.228809669522644,3,2,0.81852556366538,1,,0.00150599987796137,not_significant,pDC
TIMP1,-0.000720674860362688,,1,0.6,5,1,1.05507955936353,0.406135250917993,2,3,1.33002220998862,1,,-0.000720674860362688,not_significant,pDC
TLR2,-0.000938580641639832,,1,0.8,5,1,0.21672276621787,0.155752753977968,1,4,0.720531102829165,1,,-0.000938580641639832,not_significant,pDC
TLR4,0.000748796971743809,,1,0.6,5,1,0.165697674418605,0.124464504283966,3,2,0.509438656667814,1,,0.000748796971743809,not_significant,pDC
TLR7,-0.000257547837981483,,1,0.6,5,0,0.0608170134638923,0.0516370869033048,2,3,0.324540212790057,1,,-0.000257547837981483,not_significant,pDC
TM4SF1,-0.00367796039972961,,1,0.8,5,2,0.0665544675642595,0.0582160342717258,1,4,0.369826987369921,1,,-0.00367796039972961,not_significant,pDC
TNFRSF12A,-0.000293016022146382,,1,0.8,5,1,0.565253977968176,0.344935740514076,1,4,0.871830838201499,1,,-0.000293016022146382,not_significant,pDC
TNFRSF14,-0.000232000583315768,,1,0.6,5,0,0.179314565483476,0.140070379436965,2,3,0.639152826437489,1,,-0.000232000583315768,not_significant,pDC
