gene,sample_id,coef,se,n_cells,pval,dispersion
ALCAM,Lung5,-0.000438743022667052,0.000257718336833278,37735,0.0886779924297016,0.514140404783892
ALCAM,Lung6,-0.000365061175163258,0.00146668548502505,3252,0.803436469760061,0.296204937142331
ALCAM,Lung9,-0.00338088213958898,0.000496668976771325,21893,9.95763127723479e-12,0.343955546801943
ALCAM,Lung12,0.000639085821944149,0.000323364002492818,16548,0.0481132688223472,0.701302778791995
ALCAM,Lung13,-0.000601418960677036,0.000674698364749807,13609,0.372720310222863,0.299634608157908
ANGPT1,Lung5,0.000957964024838252,0.00034720297675937,37735,0.00579626900544124,0.386719737522466
ANGPT1,Lung6,0.00419815692392214,0.00161051632626487,3252,0.00914154367108567,0.253365685135385
ANGPT1,Lung9,0.00113037160231114,0.000668667299252902,21893,0.0909353305179854,0.220686923269312
ANGPT1,Lung12,-0.00014049394337764,0.000467927829742531,16548,0.763988730485619,0.455766930133019
ANGPT1,Lung13,0.000665275605255433,0.000832198755335186,13609,0.42404742142649,0.228444165184293
ANGPT2,Lung5,-0.000981045933673705,0.000416396704156971,37735,0.0184710906866576,0.27671385502525
ANGPT2,Lung6,0.00217609613115687,0.00182356553511037,3252,0.232744307316437,0.223868981075487
ANGPT2,Lung9,2.14327973883736e-05,0.000832770866510372,21893,0.979467328737843,0.161218214754243
ANGPT2,Lung12,-0.000773775641548077,0.00057272129719364,16548,0.176679118464632,0.353508543384085
ANGPT2,Lung13,0.000973981196778233,0.000933171562217082,13609,0.296609313103884,0.192945322005733
ANGPTL1,Lung5,0.000761590363289607,0.000347162257990585,37735,0.0282527324484616,0.377818446453856
ANGPTL1,Lung6,-0.000470094248300944,0.00186667568158788,3252,0.801168611989848,0.219764375042677
ANGPTL1,Lung9,0.00121008462982871,0.000651039538114792,21893,0.0630702310796631,0.23802512173436
ANGPTL1,Lung12,-0.000737330244350431,0.000434992220152296,16548,0.0900673831716011,0.499232498121504
