ligand,auroc,aupr,activity,pearson,cell_type
CX3CL1,0.622911217669282,0.0809483133362576,0.0156851554415207,-0.0300709652058292,fibroblast
SAA1,0.614210985178728,0.0809218262361813,0.0156586683414444,0.027923219147755,fibroblast
ACE2,0.6181887532694,0.0808407971144661,0.0155776392197292,0.0600260851290011,fibroblast
CD28,0.61987794245859,0.0807716210813462,0.0155084631866093,0.006919374465842,fibroblast
SLPI,0.616154460912526,0.0806598320007836,0.0153966741060467,0.0425146862649649,fibroblast
CCL4,0.623764893926187,0.0806389774669047,0.0153758195721678,-0.00613517010092439,fibroblast
TIMP1,0.614574251671025,0.0806044966509572,0.0153413387562203,0.0161981868014723,fibroblast
LIF,0.610342197035746,0.0804901547808336,0.0152269968860967,0.0278617524315675,fibroblast
KITLG,0.613666085440279,0.0801882959211585,0.0149251380264217,0.0460954606800645,fibroblast
ARTN,0.623201830863122,0.0800834732280914,0.0148203153333545,0.0282468868764586,fibroblast
LGALS9,0.621476315024702,0.0797936383905375,0.0145304804958007,0.060230188738384,fibroblast
RARRES1,0.611831589654169,0.0795621208678571,0.0142989629731203,0.0163580682574575,fibroblast
TNFSF4,0.611940569601864,0.0792455483554358,0.013982390460699,0.00984941015976285,fibroblast
VEGFA,0.62016855565243,0.0792167411652623,0.0139535832705254,-0.010910147961884,fibroblast
MSMB,0.607236268526591,0.0790539905376384,0.0137908326429016,0.0583904649762363,fibroblast
CXCL1,0.603712583551295,0.0786066592107041,0.0133435013159672,-0.00883161597882418,fibroblast
LEP,0.610650973554198,0.0782420343286775,0.0129788764339407,-0.0205098165512962,fibroblast
FGF7,0.608017291485036,0.0781397430543157,0.0128765851595789,-0.00656014928731928,fibroblast
HLA.DRB5,0.613611595466436,0.0781072374850044,0.0128440795902676,0.0445228648683615,fibroblast
CD40,0.597882156349901,0.0779737201430387,0.0127105622483018,0.00744481001924753,fibroblast
LTF,0.595030514385354,0.07756762208301,0.0123044641882732,0.00275547386297994,fibroblast
IL6,0.606073815751238,0.0773312592572383,0.0120681013625014,-0.00558021068369093,fibroblast
IFITM1,0.595030514385353,0.0771545356681939,0.0118913777734571,0.0359776921336963,fibroblast
IL17B,0.612939552455682,0.0769791399131306,0.0117159820183938,0.0130650342489688,fibroblast
CCL15,0.613357308921827,0.0769150943532509,0.0116519364585141,0.00206382239721203,fibroblast
ANGPT1,0.590180906713166,0.0766965915500869,0.0114334336553501,-0.00989609822404174,fibroblast
EPHA4,0.603821563498984,0.0765467126553574,0.0112835547606206,0.0130381163156521,fibroblast
BST2,0.607944638186576,0.0760224427054567,0.0107592848107199,0.0187273059873035,fibroblast
IL17A,0.578738012205755,0.0755257955958256,0.0102626377010888,-0.00344024758419177,fibroblast
CD40LG,0.594031531531535,0.075400407992366,0.0101372500976291,-0.0127533613169333,fibroblast
TNFSF12,0.595048677709969,0.0748783342079912,0.00961517631325431,-0.0131975023247966,fibroblast
PDGFC,0.597863993025283,0.0747937968714339,0.00953063897669711,-0.018580532270765,fibroblast
TGFB1,0.54771505376344,0.0740662477307253,0.00880308983598846,0.021279784356878,fibroblast
RARRES2,0.589472537053183,0.0732387081329833,0.00797555023824642,0.0255412590938153,fibroblast
TNFSF9,0.590453356582388,0.0729615507529496,0.00769839285821271,-0.0168850686409949,fibroblast
CCL3,0.588201104330136,0.0729194071855847,0.00765624929084791,0.00237587892848751,fibroblast
CSF1,0.598481546062191,0.0728437879699928,0.00758063007525597,-0.0380014169708291,fibroblast
